tutorial_define_ttt000,Novice
tutorial_define_ttt001,Beginner
tutorial_define_ttt002,Intermediate
tutorial_define_ttt003,Advanced
tutorial_define_ttt004,Expert
tutorial_define_ttt005,Display all
tutorial_define_tcn000,Recommendation
tutorial_define_tcn005,Check moves
tutorial_define_tcn006,Beginner Combo
tutorial_define_tcn007,Intermediate Combo
tutorial_define_tcn008,Advanced Combo
tutorial_define_tcn009,Expert Combo
tutorial_define_tcn010,Coaching
tutorial_define_tcn011,Intermediate Coaching
tutorial_define_tcn012,Advanced Coaching
tutorial_define_tci000,A combo recommended for beginners.
tutorial_define_tci001,A combo recommended for intermediate players.
tutorial_define_tci002,A combo recommended for advanced players.
tutorial_define_tci003,A combo recommended for experts.
tutorial_define_tci004,A simple combo suitable for beginners.
tutorial_define_tci005,A simple combo suitable for intermediate players.
tutorial_define_tci006,A slightly challenging combo suitable for advanced players.
tutorial_define_tci007,A challenging combo suitable for expert players.
tutorial_define_tci008,An explanation of combat.
tutorial_define_tci009,An explanation of combat for intermediate players.
tutorial_define_tci010,An explanation of combat for advanced players.

//Begin custom text

//Hyde
tutorial_define_custom,"These combos are easier combos to supplement Hyde's missions.
 Some require the use of delayed rekkas (\@214A@ or \@214B@), a key part of his combo structure.
 If you can't do that yet, end those combos there."
 
tutorial_define_Hyd2A,Good balance between damage and corner carry. Buffer the dash so that Hyde starts running as he lands. You can do this by double tapping and then holding forward while Hyde is in the air after pressing Aerial\@6C@.
tutorial_define_Hyd2A1,"\@2A@ can be replaced with any normal into \@2C@ for more damage. \@22A@ into \@3B@ is a tricky link at first, but essential in Hyde's corner combos. If you can do it, you'll be well on your way to learning other corner combos."
tutorial_define_Hyd5A,"Works anywhere, and off of any normal (except \@2A@, \@6B@ & \@3C@). Delayed rekkas are the backbone of many of Hyde's combos. Once you can delay rekkas consistently, make learning this route a priority. \@A@ or \@B@ rekkas work."
tutorial_define_Hyd6B,Basic \@6B@ combo at midscreen. \@A@ or \@B@ rekkas work.
tutorial_define_Hyd6B1,"The \@22A@ link can be a bit tricky at first, but this is a very strong combo that is relatively easy. You can also use both hits of \@6B@ and skip increase \@C@ for more damage. \@B+C@ is also optional if you want to save GRD."
tutorial_define_Hyd3B,Easy anti-air combo. The whiff \@2A@ rebeat is key in combo routing off an anti-air \@3C@. Making \@2A@ miss instead of waiting \@3C@ to end means it's easier to land a hit before the opponent hits the ground and is able to tech.
tutorial_define_Hyd3B1,Basic anti-air combo on non-counter hits. Jump cancel must be a neutral jump. Forward jumping can make 66C cross up.
